id,mondai,seikai,op_1,op_2,op_3
0,オキナワハクセンシオマネキの「ハクセン」とはどういう意味でしょう？,はさみが白い扇みたいだから,ハクセンさんが見つけた,甲羅に白い線があるから,細くて白い線のようなものを口から出すから
1,月桃（さんにん）の葉を使って作る沖縄のお菓子といえば？,ムーチー,ポーポー,塩せんべい,フチャギ
2,鳥の脚の指の数は普通何本？,４本,２本,３本,１本
3,次の中で魚を捕まえて食べる鳥は？,ミサゴ,ハヤブサ,ツミ,オオタカ
4,ハーリー発祥の地はどこ？,漫湖,那覇港,糸満,与那原
5,キララハゼはどうしてキラキラしているのでしょうか？,実はわからない,メスの気をひくため,敵がびっくりするから,光で体をあたためるため
6,次の中で体が白くない鳥は？,アオサギ,コサギ,チュウサギ,ダイサギ
7,ボラがジャンプをする理由は？,息つぎをしている,寄生虫を落としている,遊んでいる,敵から逃げている
8,トントンミーは満潮のときどこにいるでしょうか？,木や石の上にいる,穴の中にいる,海を泳いでいる,水面を飛び回っている
9,トントンミーのオスがメスの気を引くときにする行動は？,尾をふる,高く飛ぶ,すばやく飛ぶ,大きな穴を掘る
10,カワセミのオスはメスに気に入られるために何をするでしょうか？,魚をプレゼントする,ダンスをする,きれいな声で歌う,大きな巣を作る
11,漫湖にすむ日本一小さな魚といえば？,ミツボシゴマハゼ,ミナミトビハゼ,グッピー,スナゴハゼ
